n,sessions,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,vlink_number,session_number,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
50,5,65.41942077699397,70.87468123918374,0.020617129200000407,0.011801718399999217,19.245436395800013,0.01539634911664001,0.022954282400000837,0.0095740935999995,14.221331495200005,0.014221331495200006,0.9364629857233361,0.06353701427666394,0.0,0.0,2,5,3.4800000000000004,12450.0,5600.0,3.2000000000000006,9400.8,4040.0
50,20,60.65531133373478,53.394030106875256,0.023878404200000248,0.008613682599999705,128.86227849879998,0.016536476878014236,1.3862557343999997,0.004664785600000169,1081.2544492242,0.16627884066964352,0.9315590810073614,0.06844091899263864,0.0,0.0,2,20,2.4365914786967418,52500.0,23750.0,2.0908334795050947,37178.8,16027.6
100,10,47.96075776557377,54.345043988795034,0.03310183000000135,0.011226991399999164,112.75411667340002,0.020923822009573337,0.0467327918,0.006565915199999858,39.09943759899999,0.018473049142306054,0.9129521226950941,0.08704787730490593,0.0,0.0,3,10,4.880000000000001,67200.0,31100.0,4.263333333333334,23963.4,10280.0
100,40,44.992091481273896,1.5129549528006847,0.0351508520000003,0.009845906000001037,639.8011696881998,0.022227099025392556,9.723354385399999,0.002043076999999937,7545.5628423322,0.8913498241047147,0.9075541975593856,0.09244580244061444,0.0,0.0,3,40,3.8433167701863353,275800.0,127900.0,2.8171551830753625,86372.2,36497.0
150,15,52.3898438037059,54.68413514002672,0.02731827040000301,0.011137248200000283,255.9233630560002,0.019139435025738713,0.03516401160000008,0.010256327999999648,64.0248121104,0.01835134170804457,0.9203716910047284,0.07962830899527162,0.0,0.0,4,15,3.8922600619195045,137550.0,63150.0,3.6303405572755416,34761.6,15600.0
150,60,52.04493799094483,41.55059708672295,0.029893008599998792,0.007996480799998906,1324.5941184857998,0.019242984196977925,1.5567537332000003,0.005747309599999424,1151.7339741491996,0.06712060365114748,0.919939322226066,0.08006067777393402,0.0,0.0,3,60,3.0081795885274145,545100.0,250050.0,2.755386328829066,135697.4,60847.0
200,20,41.5273626737168,18.677160316938718,0.03853371040000368,0.011170882000001114,513.8592013163998,0.024164614936273837,6.608261231,0.0059904103999999575,1419.9164431718,0.4258088791840856,0.8996249741592794,0.10037502584072047,0.0,0.0,5,20,5.8292307692307705,304800.0,142400.0,3.9241576923076926,44648.2,18663.4
200,80,41.942205816662685,3.5598456231158595,0.04187799560000043,0.007323068000000888,2677.6038686072,0.023875394516773243,10.4603948394,4.0983600000008e-05,5441.1487742564,0.3342081213180085,0.9008426206397869,0.09915737936021304,0.0,0.0,5,80,4.254559221110945,1189600.0,554800.0,2.9361579914429257,173379.0,76484.8
250,25,38.85428878439693,40.67716995883443,0.03798023239999537,0.014266501000001597,939.8968912717999,0.025807690424336123,2.3793156552,0.002286485600000012,1155.7849736993999,0.2831619160020792,0.8926963315651486,0.10730366843485135,0.0,0.0,8,25,5.714768538181218,506250.0,237500.0,3.406562111377498,51289.4,21747.0
250,100,39.83850777292038,2.69618936863839,0.04127013839999947,0.007982765600001685,4497.579433177399,0.02511622197830752,11.325034575999998,4.138319999991216e-05,9220.6932663854,0.5432480623428211,0.8956003864086272,0.10439961359137281,0.0,0.0,8,100,4.47850002387835,1974000.0,924500.0,2.541605462624415,193996.8,85327.8
300,30,40.37257485194781,28.457353689499293,0.04258349139999869,0.012969725199996418,1284.839253806999,0.024832747924717312,3.7044450038,0.011662530200000047,1224.7479841834004,0.2737897630743208,0.8968532991115925,0.10314670088840756,0.0,0.0,8,30,5.576495098039215,706200.0,330600.0,4.138616043930147,74078.0,31857.2
300,120,39.74878228269846,2.104798332549245,0.04514124140000568,0.009820794000002664,6803.9662917964,0.02517711142563426,15.014760221400001,0.002037236000000353,14710.281920787802,0.5757329152412552,0.8954041595026865,0.10459584049731355,0.0,0.0,7,120,4.209508658008658,2806200.0,1313100.0,2.778787254539624,264252.0,117004.0
350,35,37.94710931007156,33.38256371386721,0.04131615740000001,0.012415623999999603,1870.0760468822002,0.02638311902627625,1.449155335,0.011745701600000671,526.8136930976001,0.06327963277009122,0.8904275698322888,0.10957243016771132,0.0,0.0,8,35,5.978955407526835,1023750.0,481250.0,5.152379272842831,102011.4,46157.2
350,140,38.72005610581167,11.575251587326468,0.04329244519999129,0.009166433599993695,9455.2584728944,0.025840798815602316,10.796849829600001,0.005075947199999686,5614.9074594474005,0.1525419070432993,0.8926415884834193,0.10735841151658068,0.0,0.0,7,140,4.405550810593985,3946600.0,1850800.0,3.724302566838767,387048.6,176620.8
400,40,43.66689842771145,45.39498263267085,0.03664536079999792,0.009822327600004144,2126.9125645331987,0.022904896497960226,0.053864271199999994,0.005074573200000028,197.64203633899996,0.02203557422900291,0.9047574270307646,0.09524257296923551,0.0,0.0,7,40,4.991695804195804,1162400.0,541200.0,4.6611013986013985,109724.4,50360.0
400,160,42.182382656884414,8.326207212134092,0.040142066999997186,0.00797617339999519,11337.208556343001,0.023715793408729126,12.8449446942,0.0027187180000001225,9464.4094181074,0.22518992850754,0.9013223106943054,0.09867768930569473,0.0,0.0,8,160,3.971353611917043,4744000.0,2212000.0,3.4271489888026943,417611.2,189517.2
450,45,37.73676752616752,10.448464696172115,0.04396597600000156,0.011707734799995251,2933.6546051915993,0.02655589507959088,6.8666477462,0.006950599199999974,2987.5736707998,0.4264289035367099,0.8897567149969259,0.11024328500307409,0.0,0.0,8,45,6.342841836855176,1700550.0,799650.0,4.6591127012025195,116857.0,51768.6
450,180,38.13564761028965,3.3575415276842597,0.046004468600006024,0.009205080599997473,15092.127757786002,0.02624238859424439,14.101482959,0.002006684799999877,10436.302175035798,0.3503705334162276,0.8910107810343109,0.10898921896568911,0.0,0.0,9,180,4.741126178824619,6650100.0,3122550.0,2.774639979930989,377835.0,175974.8
500,50,42.75307914266151,24.678813557103297,0.039972008200001595,0.007318757399999498,3137.188211048201,0.02340387694144718,6.2865503584,0.006161624200000104,767.1773981139999,0.0808348634273198,0.902672805249764,0.09732719475023585,0.0,0.0,13,50,5.501017501017501,1849000.0,862000.0,4.585337991515033,127456.6,56932.6
500,200,41.3470225518679,9.402956740439688,0.045196561199998084,0.006710940599995751,17949.0399713508,0.024191062576320223,11.4689174718,0.0007900348000000328,9453.041964138403,0.22230748535327338,0.8994752857143753,0.10052471428562464,0.0,0.0,13,200,3.9727342748309242,7388000.0,3444000.0,2.757462098143292,433282.4,200100.8
